fecha,ALPEKA.MX,ALSEA.MX,AMXB.MX,ARA.MX,AUTLANB.MX,BOLSAA.MX,CEMEXCPO.MX,DANHOS13.MX,FCFE18.MX,FEMSAUBD.MX,FIBRAPL14.MX,FIHO12.MX,FUNO11.MX,GFNORTEO.MX,GICSAB.MX,GMEXICOB.MX,HYG.MX,KOFUBL.MX,LASITE.MX,MEGACPO.MX,NEMAKA.MX,PE&OLES.MX,PFE.MX,PINFRA.MX,RA.MX,SHV.MX,SHY.MX,SPG.MX,SPHY.MX,T.MX,TLEVISACPO.MX,TRAXIONA.MX,UNH.MX,UPS.MX,VASCONI.MX,VESTA.MX
2024-12-02,13.569999694824219,44.36000061035156,15.1899995803833,3.299999952316284,7.800000190734863,31.6299991607666,11.65999984741211,21.889999389648438,25.0,179.1699981689453,59.88999938964844,8.75,21.059999465942383,137.5500030517578,2.190000057220459,101.66999816894531,1625.5,164.30999755859375,3.2100000381469727,38.630001068115234,1.8600000143051147,299.989990234375,527.4299926757812,188.64999389648438,119.19999694824219,2245.6201171875,1672.199951171875,3732.0,,462.6700134277344,8.09000015258789,17.299999237060547,12445.0,2736.0,0.44999998807907104,48.72999954223633
2024-12-03,13.789999961853027,45.869998931884766,15.25,3.25,7.800000190734863,32.16999816894531,11.65999984741211,21.559999465942383,25.049999237060547,181.85000610351562,59.0099983215332,8.890000343322754,21.149999618530273,142.22000122070312,2.180000066757202,103.1500015258789,1625.5,165.74000549316406,3.0999999046325684,38.599998474121094,1.840000033378601,301.55999755859375,519.2999877929688,183.82000732421875,120.58000183105469,2238.969970703125,1670.1500244140625,3680.0,,481.989990234375,8.0,17.850000381469727,12355.0,2636.06005859375,0.44999998807907104,49.38999938964844
2024-12-04,13.289999961853027,45.09000015258789,15.359999656677246,3.299999952316284,7.800000190734863,32.08000183105469,11.739999771118164,20.81999969482422,25.0,183.94000244140625,60.31999969482422,8.710000038146973,21.1200008392334,142.9499969482422,2.190000057220459,105.45999908447266,1625.5,167.52999877929688,3.0899999141693115,37.810001373291016,1.8899999856948853,303.75,513.0,183.1199951171875,121.04000091552734,2236.10009765625,1671.989990234375,3680.0,,473.010009765625,7.989999771118164,19.5,12392.0,2605.0,0.44999998807907104,48.95000076293945
2024-12-05,13.430000305175781,45.75,15.289999961853027,3.259999990463257,7.800000190734863,32.0099983215332,11.800000190734863,21.729999542236328,24.899999618530273,186.1999969482422,60.040000915527344,8.75,21.799999237060547,140.49000549316406,2.190000057220459,104.97000122070312,1625.5,167.88999938964844,3.190000057220459,37.5,2.0199999809265137,311.5400085449219,520.0,185.49000549316406,125.54000091552734,2225.510009765625,1658.5,3680.0,,482.3500061035156,7.980000019073486,19.700000762939453,11780.0,2605.0,0.44200000166893005,50.40999984741211
2024-12-06,13.239999771118164,46.16999816894531,15.0600004196167,3.299999952316284,7.739999771118164,32.18000030517578,11.75,21.200000762939453,25.06999969482422,182.38999938964844,61.41999816894531,8.850000381469727,21.8700008392334,141.80999755859375,2.190000057220459,101.79000091552734,1625.5,165.30999755859375,3.2300000190734863,37.400001525878906,2.0899999141693115,309.94000244140625,518.0,188.38999938964844,124.44000244140625,2223.989990234375,1661.0,3680.0,,482.82000732421875,7.889999866485596,19.790000915527344,11069.900390625,2534.0,0.4399999976158142,49.97999954223633
2024-12-09,13.899999618530273,46.59000015258789,15.239999771118164,3.2300000190734863,7.739999771118164,34.47999954223633,11.850000381469727,21.5,25.440000534057617,183.30999755859375,61.5,9.0,22.049999237060547,142.9600067138672,2.190000057220459,108.30000305175781,1617.0,166.89999389648438,3.240000009536743,37.310001373291016,2.1700000762939453,333.989990234375,527.010009765625,189.17999267578125,125.13999938964844,2230.389892578125,1658.3499755859375,3680.0,,482.5400085449219,7.900000095367432,19.469999313354492,11311.9501953125,2620.0,0.44999998807907104,51.310001373291016
2024-12-10,14.0,47.099998474121094,15.15999984741211,3.25,7.730000019073486,33.369998931884766,11.520000457763672,21.399999618530273,25.200000762939453,179.55999755859375,59.86000061035156,8.890000343322754,21.770000457763672,139.55999755859375,2.190000057220459,105.38999938964844,1615.0,164.63999938964844,3.309999942779541,36.720001220703125,2.200000047683716,332.9100036621094,515.0,188.64999389648438,122.58000183105469,2220.47998046875,1657.5,3680.0,,472.70001220703125,7.730000019073486,19.770000457763672,11370.0,2620.0,0.4410000145435333,50.7599983215332
2024-12-11,13.9399995803833,45.81999969482422,15.300000190734863,3.190000057220459,7.730000019073486,33.849998474121094,11.119999885559082,21.5,25.200000762939453,179.85000610351562,60.45000076293945,8.789999961853027,21.670000076293945,140.0,2.190000057220459,106.0199966430664,1615.0,164.0500030517578,3.369999885559082,37.34000015258789,2.240000009536743,335.5,508.0,186.17999267578125,121.9800033569336,2216.72998046875,1652.699951171875,3680.0,,472.989990234375,7.670000076293945,19.079999923706055,10749.330078125,2625.0,0.44999998807907104,50.33000183105469
2024-12-13,13.649999618530273,44.56999969482422,15.130000114440918,3.180000066757202,7.699999809265137,35.220001220703125,11.279999732971191,21.850000381469727,25.299999237060547,177.9499969482422,60.849998474121094,9.079999923706055,21.690000534057617,143.91000366210938,2.2100000381469727,105.9800033569336,1615.0,163.75999450683594,3.4100000858306885,36.43000030517578,2.25,328.70001220703125,516.0,186.5800018310547,125.23999786376953,2222.0,1654.0,3680.0,,473.0,7.789999961853027,19.1299991607666,10520.0,2582.1298828125,0.46000000834465027,50.779998779296875
2024-12-16,13.40999984741211,44.27000045776367,14.6899995803833,3.1700000762939453,7.699999809265137,34.5,11.170000076293945,21.260000228881836,25.260000228881836,175.00999450683594,61.43000030517578,8.949999809265137,21.700000762939453,140.64999389648438,2.2100000381469727,103.4800033569336,1615.0,163.38999938964844,3.75,35.38999938964844,2.359999895095825,313.9800109863281,508.5,179.58999633789062,129.38999938964844,2221.760009765625,1653.1300048828125,3680.0,,460.0,7.590000152587891,18.920000076293945,9995.400390625,2582.1298828125,0.4699999988079071,51.630001068115234
2024-12-17,13.8100004196167,45.130001068115234,15.109999656677246,3.25,7.599999904632568,34.20000076293945,11.34000015258789,20.790000915527344,25.209999084472656,178.1199951171875,60.279998779296875,9.149999618530273,21.489999771118164,135.50999450683594,2.2100000381469727,101.0999984741211,1610.0,165.17999267578125,3.640000104904175,35.119998931884766,2.3299999237060547,301.2200012207031,533.4099731445312,178.02999877929688,130.67999267578125,2227.5,1659.219970703125,3680.0,,459.0199890136719,7.449999809265137,18.360000610351562,9743.6201171875,2580.0,0.47999998927116394,52.279998779296875
2024-12-18,13.75,44.18000030517578,14.630000114440918,3.200000047683716,7.590000152587891,33.869998931884766,11.350000381469727,20.600000381469727,25.399999618530273,176.72999572753906,60.0099983215332,10.0,21.110000610351562,135.7100067138672,2.2100000381469727,99.41000366210938,1610.0,160.8699951171875,3.5999999046325684,34.650001525878906,2.319999933242798,293.510009765625,530.5,177.66000366210938,122.72000122070312,2240.2900390625,1663.5,3680.0,,457.010009765625,7.300000190734863,17.93000030517578,10220.0,2580.0,0.44999998807907104,51.25
2024-12-19,13.579999923706055,43.25,14.520000457763672,3.200000047683716,7.360000133514404,33.810001373291016,11.289999961853027,21.459999084472656,25.489999771118164,172.10000610351562,60.13999938964844,9.899999618530273,20.84000015258789,132.4600067138672,2.3299999237060547,97.83000183105469,1589.0,160.02000427246094,3.5899999141693115,34.099998474121094,2.3299999237060547,277.75,524.0,176.60000610351562,118.13999938964844,2233.22998046875,1658.0,3680.0,473.6000061035156,462.8599853515625,7.139999866485596,17.799999237060547,10000.0,2505.489990234375,0.46000000834465027,51.599998474121094
2024-12-20,13.789999961853027,45.29999923706055,14.350000381469727,3.200000047683716,7.360000133514404,33.68000030517578,11.3100004196167,21.350000381469727,25.290000915527344,174.69000244140625,59.52000045776367,10.989999771118164,20.65999984741211,137.36000061035156,2.3399999141693115,99.05999755859375,1575.52001953125,160.05999755859375,3.6500000953674316,34.54999923706055,2.799999952316284,280.2099914550781,527.989990234375,175.49000549316406,120.41999816894531,2204.580078125,1641.0,3680.0,,448.0,7.010000228881836,17.829999923706055,10127.7802734375,2532.0,0.46000000834465027,52.13999938964844
